Price,Address,City,State,ZipCode,Beds,Baths,Sqft,Acres
160000,1-3-73 WINCHESTER ROAD,HUNTSVILLE,TX,77340,0,0,0,2.06
95000,7-23-67 SKY OAK LANE,HUNTSVILLE,TX,77340,0,0,0,1.0
419000,706 QUAIL HOLLOW DR,HUNTSVILLE,TX,77340,3,3,2516,0.0
159000,2-10-17 STAGECOACH CIRCLE,HUNTSVILLE,TX,77340,0,0,0,3.56
99900,5-23-31 RIM ROCK ROAD,HUNTSVILLE,TX,77340,0,0,0,1.54
49900,25 STEAMBOAT RD,HUNTSVILLE,TX,77320,0,0,0,0.54
191500,2511 SYCAMORE AVE,HUNTSVILLE,TX,77340,3,2,1491,0.0
191189,TBD HADLEY CREEK BEND,HUNTSVILLE,TX,77320,0,0,0,7.99
123900,12-51-22 COPPERLEAF ROAD,HUNTSVILLE,TX,77340,0,0,0,2.0
230000,34 BLYTHE RANCH RD,HUNTSVILLE,TX,77320,5,3,2600,0.0
144900,10-26-33 LONESTAR ROAD,HUNTSVILLE,TX,77340,0,0,0,2.0
695000,8407 STATE HIGHWAY 75 S,HUNTSVILLE,TX,77340,2,1,1456,0.0
1045000,123 BRANDING IRON RD,HUNTSVILLE,TX,77340,4,5,4140,0.0
749900,701 LONESTAR ROAD,HUNTSVILLE,TX,77340,5,3,3142,0.0
104900,12-22-47 COPPERLEAF ROAD,HUNTSVILLE,TX,77340,0,0,0,2.0
295000,404 RIVER OAKS DR,HUNTSVILLE,TX,77340,3,3,2027,0.0
375000,1026 FM 2296 RD,HUNTSVILLE,TX,77340,2,2,1667,0.0
299000,83 BOOKER RD,HUNTSVILLE,TX,77320,4,2,2062,0.0
149788,49 MOCKINGBIRD RD,NEW WAVERLY,TX,77358,3,2,1216,0.0
149000,0 HWY 19,HUNTSVILLE,TX,77320,0,0,0,3.0
1196884,101 HANDLER RD,HUNTSVILLE,TX,77340,5,5,4969,0.0
600000,20 AC TRACT 4A LEGACY ESTATES,HUNTSVILLE,TX,77320,0,0,0,20.0
410000,155 FM 980 RD,HUNTSVILLE,TX,77320,5,4,2892,0.0
219990,409 DEL MONTE DR,HUNTSVILLE,TX,77320,3,2,1200,0.0
275990,419 DEL MONTE DR,HUNTSVILLE,TX,77320,5,3,2180,0.0
350000,46 FM 1696 RD W,HUNTSVILLE,TX,77320,0,0,0,5.32
825,760 CLINE ST APT 14,HUNTSVILLE,TX,77340,2,1,450,0.0
179700,10 PINE HOLLOW DR,HUNTSVILLE,TX,77340,3,2,1953,0.0
40000,1511 GREEN BRIAR DR,HUNTSVILLE,TX,77340,0,0,0,0.2
73000,00 MOFFETT SPRINGS ROAD,HUNTSVILLE,TX,77320,0,0,0,1.0
419000,1705 ROLLINGWOOD DR,HUNTSVILLE,TX,77340,4,2,2289,0.0
